fecha,titulo,presidente,año,id
2021-03-23,"Palabras del Presidente de la Nación, Alberto Fernández, en el acto por el Día Mundial del Agua y los 15 años de la reestatización de AYSA, en la planta potabilizadora de General San Martín",alberto_fernandez,2021,1
2021-03-23,"Palabras del Presidente de la Nación, Alberto Fernández, tras la entrega del premio Juana Azurduy a la lucha por los Derechos Humanos, en el Museo de Casa Rosada",alberto_fernandez,2021,2
2021-03-22,"Palabras del Presidente de la Nación, Alberto Fernández, al asumir la presidencia del Consejo Federal del Partido Justicialista, desde el estadio ""Defensores de Belgrano"", desde Nuñez, CABA.",alberto_fernandez,2021,3
2021-03-22,"Palabras del Presidente de la Nación, Alberto Fernández, tras su visita a la posta de vacunación en la Universidad Nacional de Lanús, Provincia de Buenos Aires",alberto_fernandez,2021,4
2021-03-19,"Palabras del Presidente de la Nación, Alberto Fernández, por la cuarta reunión del Consejo Regional del Norte Grande, en el Centro de Innovación y Desarrollo Tecnológico, actual Casa de Gobierno de la Provincia de Catamarca",alberto_fernandez,2021,5
2021-03-19,"Mensaje del Presidente de la Nación, Alberto Fernández, desde la Casa Rosada",alberto_fernandez,2021,6
2021-03-17,"Palabras del Presidente de la Nación, Alberto Fernández, por el acto de firma del Convenio de Adhesión entre el Ministerio de Desarrollo Territorial y Hábitat y sindicatos nucleados en la CGT y la CTA, en el Museo del Bicentenario, Casa Rosada",alberto_fernandez,2021,7
2021-03-15,"Palabras del Presidente de la Nación, Alberto Fernández, en la presentación de las primeras mil obras públicas en todo el país, en Adrogué, Provincia de Buenos Aires",alberto_fernandez,2021,8
2021-03-12,"Palabras del Presidente de la Nación, Alberto Fernández, por el acto que da inicio al año del bicentenario de la UBA, en la Manzana de las Luces, CABA",alberto_fernandez,2021,9
2021-03-09,"Palabras del Presidente de la Nación, Alberto Fernández, por el anuncio de beneficios para el sector automotriz, en el museo del bicentenario, Casa Rosada ",alberto_fernandez,2021,10
2021-03-08,"Palabras del Presidente de la Nación, Alberto Fernández, por la firma del acuerdo federal para una Argentina unida contra la violencia de género, en el museo del bicentenario, Casa Rosada",alberto_fernandez,2021,11
2021-03-06,"Palabras del Presidente de la Nación, Alberto Fernández, durante la presentación del plan estratégico Argentina Vitivinícola 2030, en Luján de Cuyo, provincia de Mendoza",alberto_fernandez,2021,12
2021-03-06,"Palabras del Presidente de la Nación, Alberto Fernández, al cierre de la Reunión del Consejo Económico y Social, Parque Norte, CABA",alberto_fernandez,2021,13
2021-03-05,"Palabras del Presidente de la Nación, Alberto Fernández, por el millón de vacunados contra el COVID en Argentina, desde Ituzaingó, Provincia de Buenos Aires",alberto_fernandez,2021,14
2021-03-05,"Palabras del Presidente de la Nación, Alberto Fernández, después de la firma de convenios y anuncio de obras entre el Gobierno nacional y Santiago del Estero, desde la Casa de Gobierno de esa provincia",alberto_fernandez,2021,15
2021-03-03,"Palabras del Presidente de la Nación, Alberto Fernández, por la firma de un convenio para la fabricación de radares 3D, en la sede de INVAP en Bariloche, Río Negro",alberto_fernandez,2021,16
2021-03-01,"Palabras del Presidente Alberto Fernández en la Apertura del 139 período de sesiones ordinarias, del Honorable Congreso de la Nación Argentina, CABA",alberto_fernandez,2021,17
2021-02-25,"Palabras del presidente de la Nación, Alberto Fernández,  en el Acto de Conmemoración del 243° Aniversario del Nacimiento del Gral. José de San Martín  ",alberto_fernandez,2021,18
2021-02-24,"Palabras del Presidente de la Nación, Alberto Fernandez, en el acto central por los 200 años de la promulgación del Plan Iguala, desde Iguala de la Independencia, Estado de Guerrero, México",alberto_fernandez,2021,19
2021-02-24,"Palabras del Presidente de la Nación, Alberto Fernández, en la sesión solemne, de la Cámara de Senadores de México, en el Centro Histórico de la ciudad de México",alberto_fernandez,2021,20
2021-02-23,"Palabras del Presidente de la Nación, Alberto Fernández, durante la conferencia de prensa conjunta con su par de México, Andrés Manuel López Obrador (AMLO), desde el Palacio Nacional de México",alberto_fernandez,2021,21
2021-02-19,"Palabras del presidente Alberto Fernández en el Consejo Económico y Social, en el CCK",alberto_fernandez,2021,22
2021-02-12,"Palabras del Presidente de la Nación, Alberto Fernández, en el cierre del Consejo Federal de Educación, desde la Residencia Presidencial de Olivos",alberto_fernandez,2021,23
2021-02-11,"Palabras del Presidente de la Nación, Alberto Fernández, por la presentación de 5 de los 19 nuevos centros modulares sanitarios en ciudades turísticas, desde la Residencia Presidencial de Olivos",alberto_fernandez,2021,24
2021-02-09,"Palabras del Presidente de la Nación, Alberto Fernández durante su reunión con representantes de las uniones industriales del NEA y el NOA y dirigentes sindicales, en San Javier, provincia de Tucumán.   ",alberto_fernandez,2021,25
2021-01-28,"Palabras del Presidente de la Nación, Alberto Fernández, por el Foro Económico Mundial de Davos, desde la Residencia Presidencial de Olivos",alberto_fernandez,2021,26
2021-01-27,"Conferencia Magistral del Presidente de la Nación, Alberto Fernández, desde la sede de la CEPAL ",alberto_fernandez,2021,27
2021-01-27,"Mensaje del Presidente de la Nación, Alberto Fernández, en el Día Internacional de Conmemoración anual en memoria de las víctimas del Holocausto, desde Santiago de Chile. ",alberto_fernandez,2021,28
2021-01-26,"Palabras del Presidente de la Nación, Alberto Fernández, durante la declaración conjunta ofrecida, junto a su par de la República de Chile, Sebastián Piñera, en la primera visita de Estado a ese país de la comitiva argentina, desde el Palacio de La Moneda",alberto_fernandez,2021,29
2021-01-25,"Palabras del Presidente de la Nación, Alberto Fernández, por la sesión de apertura de la Cumbre de Adaptación Climática 2021",alberto_fernandez,2021,30
2021-01-19,"Palabras del Presidente de la Nación, Alberto Fernández y el Gobernador provincial Sergio Uñac, después del recorrido por la provincia de San Juan, con el fin de evaluar los daños del sismo, de 6.4 grados, en la escala de Richter, ocurrido, en la noche de",alberto_fernandez,2021,31
2021-01-19,"Palabras del Presidente de la Nación, Alberto Fernández, después de la reunión del Gabinete Federal, como parte del programa de Capitales Alternas; la realización de anuncios; recorrida de obras y la firma de convenios entre autoridades nacionales y provi",alberto_fernandez,2021,32
2021-01-14,"Palabras del Presidente de la Nación, Alberto Fernández, en el acto de promulgación de las leyes de Interrupción Voluntaria del Embarazo (IVE) y de Atención y Cuidado Integral de la Salud, durante el Embarazo y la Primera Infancia, desde el Museo del Bice",alberto_fernandez,2021,33
2021-01-04,"Palabras del Presidente de la Nación, Alberto Fernández, por la puesta en marcha de las primeras 30 obras públicas del 2021, desde la Residencia Presidencial de Olivos",alberto_fernandez,2021,34
2021-01-04,"Palabras del Presidente de la Nación, Alberto Fernández, en el acto de promulgación de la Ley de Movilidad Jubilatoria, Complejo de Chapadmalal, partido General Pueyrredón, provincia de Buenos Aires.",alberto_fernandez,2021,35
2020-12-28,"Palabras del Presidente de la Nación, Alberto Fernández, por el anuncio de viviendas y obras para Avellaneda, Quilmes, Berazategui y Florencio Varela, desde la Residencia Presidencial de Olivos",alberto_fernandez,2020,36
2020-12-23,"Palabras del Presidente de la Nación, Alberto Fernández, por la inauguración del Hospital Penitenciario en la Unidad 58 y la culminación del Plan de Infraestructura Penitenciaria Provincial, en Lomas de Zamora, Provincia de Buenos Aires",alberto_fernandez,2020,37
2020-12-22,"Palabras del Presidente de la Nación, Alberto Fernández, por el acto de apertura de ofertas en la licitación internacional para readecuar el aeropuerto local, en Concordia, Entre Ríos ",alberto_fernandez,2020,38
2020-12-21,"Palabras del Presidente de la Nación, Alberto Fernández, por la primera reunión de gabinete federal que pone en marcha el proyecto de Capitales Alternas, en Río Grande, Tierra del Fuego",alberto_fernandez,2020,39
2020-12-21,"Palabras del Presidente de la Nación, Alberto Fernández, durante el acto: “Desafíos para la reconstrucción bonaerense”, desde el Estadio Único de La Plata. ",alberto_fernandez,2020,40
2020-12-18,"Palabras del Presidente de la Nación, Alberto Fernández, por la entrega de un bono a trabajadores sociocomunitarios, en el Centro Cultural La Chicharra, localidad de Moreno, Provincia de Buenos Aires",alberto_fernandez,2020,41
2020-12-16,"Palabras del Presidente de la Nación, Alberto Fernández, por la Cumbre de Presidentes de los Estados Partes del Mercosur y Estados Asociados, desde la Residencia Presidencial de Olivos",alberto_fernandez,2020,42
2020-12-15,"Palabras del Presidente de la Nación, Alberto Fernández, por el acto central del Día del Camionero, en la Sede de la Federación Nacional de Camioneros, CABA",alberto_fernandez,2020,43
2020-12-14,"Palabras del Presidente de la Nación, Alberto Fernández, durante la entrega de Premios Houssay y Jorge Sábato y la distinción “Investigador e Investigadora de la Nación Argentina 2020”",alberto_fernandez,2020,44
2020-12-11,"Palabras del Presidente de la Nación, Alberto Fernández, la celebración del Día Internacional de los Derechos Humanos",alberto_fernandez,2020,45
2020-12-10,"Anuncio y conferencia de prensa del Presidente de la Nación, Alberto Fernández, y el Ministro de Salud de la Nación, Ginés González García, en la Sala de Conferencias, Casa Rosada",alberto_fernandez,2020,46
2020-12-10,"Palabras del Presidente de la Nación, Alberto Fernández, en el acto de inauguración de la Casa de los Premios Nobel Latinoamericanos, en San Telmo, CABA.",alberto_fernandez,2020,47
2020-12-09,"Palabras del Presidente de la Nación, Alberto Fernández, por la inauguración de 30 obras públicas en 12 provincias, en Casa Rosada",alberto_fernandez,2020,48
2020-12-04,"Palabras del Presidente de la Nación, Alberto Fernández, por el acto donde los gobernadores firmarán el Consenso Fiscal 2020, en el Museo del Bicentenario, Casa Rosada",alberto_fernandez,2020,49
2020-12-04,"Palabras del Presidente de la Nación, Alberto Fernández, por la inauguración de la nueva planta de pintura de Volkswagen, en General Pacheco, Provincia de Buenos Aires",alberto_fernandez,2020,50
2020-12-03,"Palabras del Presidente de la Nación, Alberto Fernández, en el 26ta. Conferencia Industrial Argentina, organizada por la Unión Industrial Argentina, desde Quilmes. ",alberto_fernandez,2020,51
2020-12-02,"Palabras del Presidente de la Nación, Alberto Fernández, por la inauguración de la central térmica La Plata Cogeneración II en YPF, en el Complejo Industrial La Plata, ubicado entre los partidos de Berisso y Ensenada",alberto_fernandez,2020,52
2020-11-30,"Palabras del  Presidente de la Nación, Alberto Fernández, durante la puesta en marcha del Plan de Promoción de la Producción de Gas Argentino 2020-2024, Gas.Ar, desde el Museo del Bicentenario, Casa Rosada.",alberto_fernandez,2020,53
2020-11-25,"Palabras del Presidente de la Nación, Alberto Fernández, en su participación de la apertura del Congreso de la Asociación Bancaria, desde la Quinta Presidencial de Olivos",alberto_fernandez,2020,54
2020-11-24,"Palabras del Presidente de la Nación, Alberto Fernández, por el acto del Día de la Construcción, a través de videoconferencia, desde la Quinta Presidencial de Olivos",alberto_fernandez,2020,55
